Grade,Marks
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,70
1,69
1,69
1,69
1,70
1,69
1,69
1,69
1,69
1,69
1,67
1,69
1,69
1,69
1,70
1,67
1,65
1,69
1,69
1,69
1,65
1,68
1,68
1,70
1,70
1,65
1,70
1,65
1,68
1,69
1,69
1,63
1,68
1,68
1,63
1,61
1,69
1,69
1,69
1,68
1,68
1,69
1,67
1,67
1,69
1,69
1,67
1,69
1,67
1,69
1,67
1,66
1,69
1,69
1,66
1,68
1,66
1,68
1,66
1,66
1,65
1,65
1,65
1,65
1,65
1,64
1,68
1,64
1,68
1,64
1,64
1,68
1,68
1,68
1,60
1,64
1,68
1,68
1,58
1,67
1,64
1,64
1,58
1,58
1,57
1,67
1,64
1,55
1,54
1,53
1,52
1,63
1,62
1,67
1,66
1,66
1,51
1,65
1,62
1,65
1,64
1,62
1,64
1,62
1,61
1,64
1,60
1,64
1,64
1,46
1,63
1,60
1,59
1,62
1,45
1,59
1,59
1,58
1,61
1,58
1,61
1,57
1,61
1,61
1,60
1,57
1,60
1,59
1,59
1,55
1,44
1,31
1,54
1,28
1,52
1,50
1,59
1,25
1,53
1,48
1,52
1,47
1,25
1,44
1,42
1,35
1,51
1,11
1,49
1,38
1,34
1,28
1,19
2,70
2,70
2,70
2,70
2,70
2,69
2,70
2,70
2,70
2,70
2,70
2,69
2,68
2,69
2,69
2,69
2,70
2,70
2,70
2,69
2,69
2,70
2,69
2,69
2,69
2,69
2,69
2,69
2,69
2,69
2,69
2,68
2,69
2,68
2,69
2,69
2,68
2,69
2,68
2,69
2,68
2,68
2,67
2,69
2,69
2,69
2,68
2,68
2,68
2,67
2,68
2,68
2,66
2,68
2,68
2,68
2,67
2,68
2,67
2,68
2,65
2,67
2,67
2,67
2,68
2,67
2,67
2,68
2,67
2,68
2,67
2,67
2,68
2,68
2,67
2,67
2,67
2,67
2,67
2,65
2,66
2,66
2,64
2,67
2,66
2,67
2,66
2,66
2,66
2,66
2,65
2,65
2,64
2,65
2,65
2,66
2,65
2,63
2,65
2,64
2,64
2,64
2,61
2,66
2,66
2,64
2,66
2,57
2,57
2,52
2,65
2,63
2,65
2,65
2,64
2,64
2,64
2,64
2,64
2,63
2,63
2,63
2,63
2,52
2,63
2,49
2,62
2,63
2,63
2,63
2,62
2,62
2,63
2,61
2,61
2,60
2,59
2,58
2,58
2,46
2,62
2,62
2,62
2,61
2,60
2,57
2,57
2,57
2,42
2,56
2,53
2,25
2,54
2,52
2,24
2,53
2,52
2,52
2,50
2,44
2,51
2,47
2,42
2,37
2,21
2,29
2,36
3,70
3,69
3,68
3,67
3,67
3,66
3,66
3,64
3,63
3,62
3,62
3,64
3,62
3,61
3,61
3,60
3,61
3,60
3,60
3,57
3,57
3,56
3,55
3,53
3,59
3,52
3,52
3,58
3,69
3,66
3,55
3,51
3,53
3,53
3,51
3,50
3,49
3,48
3,49
3,59
3,53
3,50
3,47
3,47
3,49
3,45
3,47
3,41
3,44
3,40
3,44
3,39
3,40
3,40
3,36
3,29
3,29
3,33
4,70
4,64
4,64
4,46
4,43
4,65
4,63
4,59
4,59
4,59
4,56
4,52
4,51
4,55
4,50
4,51
4,50
4,40
4,50
4,30
4,40
4,49
4,49
4,47
4,46
4,44
4,44
4,40
4,42
4,42
4,39
4,40
4,39
4,37
4,39
4,33
4,32
4,31
4,27
4,27
4,37
4,24
4,26
4,25
4,23
4,22
4,20
4,13
4,20
4,17
4,16
4,16
4,14
4,13
4,21
5,70
5,70
5,70
5,70
5,70
5,63
5,62
5,62
5,60
5,58
5,55
5,53
5,49
5,61
5,69
5,46
5,69
5,44
5,37
5,68
5,61
5,55
5,45
5,52
5,49
5,46
5,35
5,43
5,43
5,39
5,32
5,26
5,26
5,38
5,37
5,36
5,33
5,25
5,33
5,32
5,32
5,22
5,29
5,44
5,39
5,21
5,26
5,22
5,20
5,19
5,19
5,36
5,34
5,19
5,31
5,29
5,18
5,13
5,16
5,14
5,13
5,13
5,11
5,10
5,29
5,25
5,22
5,21
5,11
6,68
6,68
6,67
6,66
6,66
6,65
6,65
6,64
6,63
6,62
6,60
6,60
6,59
6,59
6,56
6,56
6,54
6,52
6,51
6,49
6,49
6,48
6,48
6,64
6,61
6,67
6,46
6,46
6,45
6,43
6,58
6,49
6,46
6,42
6,41
6,36
6,33
6,45
6,30
6,40
6,26
6,26
6,38
6,36
6,37
6,26
6,34
6,31
6,31
6,25
6,24
6,23
6,12
6,28
6,18
6,11
6,28
6,27
6,23
6,17
6,17
6,15
