Grade,Marks
1,70
1,69
1,68
1,67
1,63
1,62
1,61
1,61
1,60
1,60
1,59
1,59
1,58
1,57
1,57
1,56
1,56
1,55
1,55
1,53
1,53
1,53
1,52
1,51
1,51
1,50
1,50
1,49
1,49
1,49
1,48
1,47
1,47
1,47
1,46
1,46
1,46
1,45
1,45
1,44
1,44
1,44
1,44
1,44
1,44
1,44
1,43
1,43
1,40
1,39
1,39
1,38
1,38
1,37
1,37
1,35
1,33
1,31
1,31
1,30
1,30
1,29
1,29
1,28
1,28
1,22
1,21
1,70
1,69
1,68
1,64
1,64
1,63
1,63
1,62
1,61
1,61
1,60
1,59
1,59
1,56
1,55
1,54
1,53
1,53
1,53
1,52
1,52
1,52
1,51
1,50
1,50
1,50
1,49
1,49
1,49
1,46
1,46
1,46
1,45
1,45
1,45
1,45
1,44
1,43
1,43
1,43
1,42
1,41
1,39
1,39
1,37
1,37
1,37
1,36
1,36
1,36
1,36
1,35
1,34
1,34
1,34
1,29
1,29
1,28
1,27
1,27
1,24
1,23
1,22
1,22
1,18
1,17
1,69
1,68
1,66
1,65
1,63
1,61
1,60
1,60
1,60
1,57
1,57
1,56
1,56
1,56
1,55
1,54
1,53
1,53
1,53
1,52
1,52
1,52
1,51
1,50
1,50
1,50
1,49
1,49
1,49
1,48
1,47
1,47
1,47
1,47
1,46
1,46
1,45
1,45
1,45
1,44
1,44
1,44
1,43
1,43
1,43
1,42
1,42
1,41
1,40
1,40
1,39
1,39
1,39
1,39
1,39
1,39
1,38
1,37
1,37
1,37
1,36
1,35
1,35
1,34
1,34
1,33
1,33
1,32
1,31
1,27
1,27
1,26
1,25
1,20
1,17
1,17
1,15
2,61
2,54
2,54
2,52
2,50
2,48
2,48
2,48
2,43
2,42
2,40
2,40
2,40
2,40
2,40
2,40
2,39
2,39
2,38
2,38
2,38
2,38
2,35
2,34
2,33
2,33
2,32
2,31
2,30
2,30
2,29
2,29
2,29
2,28
2,28
2,28
2,28
2,27
2,27
2,26
2,26
2,26
2,25
2,25
2,25
2,24
2,24
2,23
2,22
2,18
2,17
2,17
2,63
2,55
2,50
2,49
2,48
2,48
2,47
2,47
2,46
2,46
2,46
2,46
2,44
2,44
2,43
2,43
2,43
2,42
2,41
2,41
2,41
2,41
2,40
2,40
2,40
2,40
2,39
2,39
2,39
2,38
2,38
2,37
2,36
2,36
2,36
2,35
2,35
2,35
2,34
2,34
2,34
2,33
2,33
2,33
2,33
2,33
2,33
2,32
2,32
2,30
2,30
2,30
2,29
2,29
2,29
2,28
2,27
2,27
2,27
2,27
2,26
2,25
2,25
2,24
2,22
2,21
2,21
2,21
2,20
2,19
2,19
2,14
2,12
2,65
2,64
2,54
2,53
2,53
2,52
2,52
2,50
2,49
2,48
2,48
2,47
2,47
2,47
2,45
2,43
2,42
2,42
2,42
2,41
2,41
2,40
2,40
2,40
2,40
2,40
2,40
2,39
2,39
2,39
2,39
2,39
2,38
2,38
2,37
2,37
2,37
2,37
2,37
2,36
2,36
2,35
2,35
2,35
2,34
2,34
2,34
2,34
2,33
2,33
2,32
2,32
2,31
2,30
2,30
2,30
2,29
2,28
2,27
2,27
2,27
2,27
2,27
2,27
2,27
2,25
2,25
2,25
2,25
2,25
2,25
2,24
2,24
2,23
2,18
2,15
3,64
3,61
3,60
3,59
3,59
3,59
3,58
3,56
3,56
3,56
3,56
3,55
3,54
3,54
3,53
3,52
3,52
3,52
3,51
3,51
3,50
3,50
3,50
3,48
3,47
3,47
3,46
3,44
3,44
3,44
3,43
3,43
3,43
3,42
3,42
3,42
3,40
3,40
3,39
3,39
3,39
3,39
3,39
3,37
3,37
3,37
3,37
3,36
3,35
3,35
3,34
3,33
3,33
3,33
3,33
3,32
3,31
3,31
3,30
3,30
3,30
3,29
3,26
3,26
3,26
3,25
3,25
3,25
3,24
3,24
3,24
3,22
3,22
3,19
3,19
3,18
3,18
3,15
3,14
3,67
3,66
3,66
3,63
3,63
3,63
3,60
3,60
3,59
3,59
3,57
3,56
3,55
3,55
3,55
3,55
3,54
3,54
3,53
3,52
3,52
3,51
3,50
3,50
3,49
3,49
3,49
3,49
3,49
3,47
3,47
3,46
3,46
3,44
3,44
3,44
3,44
3,44
3,44
3,44
3,43
3,43
3,43
3,43
3,42
3,42
3,41
3,41
3,41
3,40
3,40
3,40
3,39
3,39
3,39
3,39
3,39
3,38
3,37
3,37
3,37
3,37
3,36
3,36
3,35
3,34
3,34
3,33
3,32
3,32
3,32
3,32
3,31
3,30
3,30
3,30
3,29
3,28
3,27
3,25
3,24
3,23
3,21
3,21
3,17
3,16
3,10
3,63
3,62
3,62
3,61
3,61
3,60
3,59
3,59
3,58
3,57
3,56
3,55
3,55
3,54
3,53
3,53
3,53
3,53
3,53
3,52
3,52
3,52
3,51
3,51
3,51
3,50
3,50
3,50
3,49
3,49
3,49
3,49
3,49
3,48
3,48
3,47
3,47
3,46
3,46
3,46
3,46
3,46
3,45
3,44
3,43
3,42
3,42
3,42
3,41
3,41
3,41
3,40
3,40
3,40
3,40
3,40
3,39
3,39
3,39
3,39
3,39
3,39
3,38
3,38
3,38
3,37
3,37
3,37
3,37
3,36
3,36
3,36
3,36
3,35
3,35
3,35
3,34
3,34
3,32
3,32
3,32
3,31
3,31
3,31
3,30
3,29
3,28
3,27
3,26
3,26
3,24
3,24
3,21
3,20
3,20
3,14
4,66
4,62
4,62
4,59
4,59
4,58
4,57
4,55
4,54
4,52
4,50
4,50
4,49
4,49
4,49
4,48
4,47
4,46
4,46
4,45
4,45
4,45
4,45
4,45
4,44
4,43
4,43
4,43
4,43
4,42
4,42
4,42
4,41
4,41
4,41
4,40
4,39
4,39
4,39
4,39
4,38
4,38
4,37
4,37
4,37
4,37
4,36
4,36
4,35
4,35
4,34
4,34
4,34
4,33
4,33
4,33
4,32
4,32
4,32
4,30
4,30
4,29
4,29
4,29
4,28
4,28
4,28
4,27
4,27
4,27
4,27
4,27
4,26
4,25
4,25
4,23
4,22
4,20
4,19
4,16
4,16
4,15
4,10
4,63
4,62
4,58
4,56
4,55
4,54
4,54
4,53
4,51
4,51
4,51
4,50
4,50
4,49
4,49
4,49
4,49
4,49
4,49
4,49
4,49
4,48
4,48
4,48
4,46
4,45
4,45
4,45
4,45
4,45
4,45
4,45
4,44
4,44
4,44
4,44
4,43
4,43
4,42
4,41
4,41
4,41
4,40
4,40
4,40
4,40
4,40
4,40
4,40
4,39
4,39
4,39
4,39
4,38
4,37
4,37
4,37
4,36
4,36
4,36
4,35
4,35
4,35
4,34
4,34
4,33
4,33
4,33
4,33
4,33
4,33
4,33
4,33
4,33
4,33
4,32
4,32
4,31
4,30
4,30
4,30
4,30
4,29
4,29
4,26
4,26
4,25
4,25
4,25
4,24
4,23
4,23
4,22
4,19
4,19
4,19
4,18
4,66
4,62
4,61
4,60
4,60
4,60
4,59
4,58
4,58
4,58
4,57
4,57
4,57
4,56
4,55
4,55
4,54
4,54
4,54
4,53
4,53
4,53
4,53
4,52
4,52
4,52
4,52
4,51
4,51
4,51
4,51
4,50
4,50
4,50
4,49
4,49
4,49
4,49
4,49
4,49
4,48
4,48
4,48
4,48
4,48
4,48
4,48
4,47
4,47
4,47
4,46
4,46
4,46
4,45
4,45
4,45
4,44
4,44
4,44
4,44
4,44
4,44
4,43
4,43
4,43
4,43
4,43
4,42
4,42
4,41
4,41
4,41
4,40
4,39
4,39
4,39
4,39
4,37
4,37
4,37
4,37
4,37
4,36
4,36
4,36
4,33
4,33
4,33
4,33
4,32
4,32
4,32
4,30
4,29
4,29
4,29
4,25
4,24
4,23
4,17
5,64
5,64
5,63
5,62
5,59
5,49
5,46
5,46
5,45
5,45
5,42
5,41
5,41
5,41
5,33
5,32
5,27
5,24
5,24
5,22
5,20
5,19
5,17
5,13
5,52
5,51
5,49
5,48
5,44
5,43
5,40
5,39
5,38
5,37
5,37
5,37
5,36
5,34
5,33
5,33
5,32
5,31
5,30
5,29
5,27
5,27
5,26
5,26
5,26
5,24
5,23
5,22
5,18
5,17
5,16
5,14
5,10
5,66
5,65
5,64
5,61
5,56
5,55
5,54
5,54
5,53
5,52
5,52
5,52
5,49
5,48
5,47
5,43
5,42
5,39
5,34
5,33
5,28
5,27
5,23
6,57
6,41
6,37
6,35
6,33
6,32
6,31
6,30
6,28
6,28
6,28
6,27
6,20
6,16
6,15
6,49
6,44
6,37
6,37
6,36
6,31
6,29
6,29
6,24
6,22
6,21
