Grade,Marks
1,68
1,60
1,34
1,69
1,51
1,69
1,67
1,51
1,57
1,38
1,55
1,62
1,59
1,55
1,47
1,68
1,68
1,54
1,55
1,62
1,63
1,68
1,48
1,48
1,68
1,41
1,49
1,68
1,57
1,45
1,60
1,50
1,68
1,63
1,66
1,63
1,58
1,38
1,49
1,31
1,51
1,58
1,47
1,32
1,33
1,57
1,44
1,49
1,67
1,42
1,52
1,48
1,48
1,33
1,45
1,48
1,42
1,42
1,41
1,45
1,39
1,44
1,56
1,28
1,52
1,64
1,29
1,38
1,38
1,36
1,47
1,53
1,30
1,37
1,52
1,60
1,65
1,58
1,28
1,28
1,58
1,28
1,58
1,48
1,49
1,54
1,59
1,56
1,56
1,57
1,38
1,51
1,32
1,45
1,64
1,44
1,49
1,49
1,47
1,69
1,50
1,54
1,29
1,52
1,52
1,51
1,43
1,60
1,47
1,47
1,38
1,41
1,53
1,50
1,55
1,46
1,52
1,50
1,32
1,34
1,58
1,28
1,45
1,56
1,53
1,50
1,42
1,59
1,50
1,40
1,36
1,60
1,40
1,58
1,29
1,41
1,45
1,62
1,42
1,35
1,35
1,49
1,55
1,56
1,43
1,58
1,51
1,41
1,32
1,29
1,50
1,64
1,52
1,62
1,50
1,45
1,65
1,66
1,59
1,68
1,64
1,42
1,40
1,63
1,62
1,65
1,41
1,58
1,60
1,49
1,36
1,63
1,64
1,41
1,64
1,59
1,68
1,67
1,58
1,66
1,61
1,41
1,58
1,62
1,59
1,60
1,37
1,36
1,65
1,51
1,50
1,36
1,54
1,37
1,46
1,54
1,49
1,61
1,53
1,51
1,61
1,42
1,64
1,62
1,59
1,58
1,49
1,50
1,47
1,49
1,62
1,62
1,62
1,67
1,56
1,63
1,53
1,43
1,30
1,38
1,46
1,47
1,67
1,60
1,63
1,65
1,41
1,63
1,37
1,49
1,37
1,54
1,42
1,41
1,54
1,67
1,36
1,45
1,53
1,59
1,67
1,67
1,66
1,69
1,67
1,54
1,48
1,40
1,36
1,29
1,34
1,43
1,49
1,38
1,61
1,55
1,50
1,45
1,54
1,69
1,53
1,57
1,49
1,57
1,60
1,66
1,52
1,65
1,64
1,58
1,50
1,60
1,41
1,64
1,57
1,45
1,56
1,62
1,52
1,68
1,68
1,62
1,45
1,32
1,36
1,60
1,40
1,48
1,35
1,66
1,56
1,60
1,46
1,38
1,50
1,33
1,66
1,54
1,62
1,41
1,68
1,60
1,44
1,61
1,43
1,63
1,35
1,40
1,29
1,55
1,61
1,48
1,39
1,64
1,57
1,55
1,57
1,48
1,33
1,55
1,63
1,52
1,29
1,67
1,46
1,61
1,49
1,40
1,31
1,41
1,54
1,53
1,50
1,64
1,65
1,58
1,56
1,55
