Grade,Marks
2,43
2,70
2,69
2,70
2,69
2,69
2,69
2,70
2,65
2,68
2,68
2,50
2,70
2,69
2,70
2,70
2,59
2,69
2,68
2,69
2,69
2,69
2,67
2,67
2,69
2,67
2,69
2,68
2,68
2,70
2,70
2,68
2,66
2,69
2,57
2,70
2,54
2,65
2,67
2,30
2,67
2,67
2,69
2,69
2,69
2,68
2,70
2,68
2,68
2,68
2,37
2,62
2,70
2,68
2,60
2,68
2,70
2,70
2,66
2,67
2,68
2,69
2,70
2,67
2,68
2,31
2,58
2,69
2,61
2,70
2,64
2,41
2,45
2,58
2,59
2,48
2,64
2,68
2,63
2,69
2,41
2,69
2,69
2,66
2,69
2,67
2,69
2,68
2,70
2,61
2,64
2,70
2,63
2,45
2,35
2,67
2,68
2,63
2,61
2,69
2,70
2,67
2,68
2,67
2,67
2,70
2,51
2,68
2,69
2,70
2,70
2,44
2,69
2,67
2,50
2,69
2,69
2,47
2,70
2,70
2,33
2,66
2,68
2,69
2,67
2,69
2,70
2,70
2,63
2,60
2,66
2,54
2,70
2,70
2,70
2,70
2,67
2,63
2,70
2,70
2,70
2,68
2,70
2,70
2,63
2,37
2,62
2,69
2,70
2,69
2,70
2,70
2,54
2,70
2,68
2,70
2,68
2,64
2,67
2,70
2,69
2,69
2,67
2,69
2,70
2,70
2,55
2,56
2,69
2,69
2,54
2,48
2,70
2,43
2,70
2,70
2,69
2,68
2,70
2,70
2,69
2,41
2,69
2,70
2,70
2,69
2,70
2,69
2,57
2,62
2,69
2,42
2,37
2,67
2,56
2,70
2,63
2,68
2,67
2,69
2,70
2,60
2,69
2,68
2,70
2,70
2,70
2,68
2,49
2,67
2,70
2,30
2,62
2,64
2,61
2,68
2,70
2,69
2,56
2,69
2,70
3,63
3,57
3,34
3,56
3,58
3,61
3,61
3,31
3,43
3,62
3,66
3,52
3,37
3,61
3,70
3,54
3,60
3,41
3,67
3,58
3,56
3,60
3,54
3,28
3,57
3,66
3,66
3,45
3,65
3,58
3,52
3,57
3,41
3,41
3,63
3,65
3,65
3,63
3,30
3,28
3,64
3,39
3,54
3,38
3,45
3,68
3,37
3,54
3,64
3,62
3,70
3,68
3,47
3,66
3,42
3,65
3,41
3,42
3,39
3,40
3,30
3,39
3,47
3,41
3,37
3,63
3,48
3,57
3,58
3,43
3,60
3,62
3,40
3,63
3,42
3,67
3,60
3,55
3,63
3,33
3,35
3,53
3,68
3,38
3,59
3,60
3,70
3,49
3,61
3,48
3,29
3,67
3,67
3,56
3,69
3,48
3,40
3,62
3,70
3,46
3,48
3,69
3,46
3,56
3,65
3,40
3,70
3,67
3,48
3,55
3,56
3,44
3,51
3,69
3,66
3,68
3,32
3,57
3,67
3,35
3,44
3,29
3,55
3,64
3,36
3,63
3,63
3,39
3,52
3,69
3,67
3,62
3,67
3,63
3,63
3,65
3,69
3,52
4,61
4,68
4,62
4,68
4,35
4,69
4,56
4,36
4,38
4,49
4,62
4,68
4,60
4,55
4,53
4,38
4,36
4,46
4,53
4,38
4,41
4,31
4,66
4,35
4,42
4,31
4,68
4,44
4,38
4,55
4,57
4,64
4,31
4,51
4,30
4,45
4,59
4,67
4,50
4,57
4,37
4,67
4,54
4,35
4,39
4,37
4,60
4,61
4,30
4,64
4,61
4,46
4,58
4,61
4,42
4,57
4,34
4,41
4,37
4,41
4,51
4,39
4,33
4,30
4,58
4,63
4,66
4,65
4,38
4,68
4,57
4,56
4,29
4,64
4,54
4,43
4,54
4,48
4,61
4,42
4,43
4,59
4,65
4,51
4,65
4,43
4,31
4,55
4,67
4,54
4,43
4,43
4,39
4,36
4,45
4,34
4,68
4,62
4,42
4,48
4,45
4,41
4,59
4,51
4,69
4,32
4,38
4,44
4,39
4,64
4,35
4,45
4,69
4,52
4,56
4,41
4,28
4,48
4,58
4,66
4,56
4,33
4,55
4,55
4,48
4,57
4,37
4,55
4,61
4,55
4,33
4,52
4,33
4,52
4,65
4,70
4,50
4,66
4,58
4,36
4,47
4,66
4,62
4,54
4,47
4,40
4,64
4,44
4,66
4,66
4,49
4,48
4,67
4,64
4,51
4,70
4,39
4,33
4,66
4,42
4,65
4,35
4,62
4,69
4,67
4,39
4,43
4,68
4,67
4,42
4,49
4,41
4,61
4,60
4,65
4,49
4,41
4,51
4,58
4,54
4,37
4,52
4,67
4,37
4,48
4,56
4,34
4,35
4,48
4,55
4,66
4,62
4,66
4,50
4,46
4,47
4,41
4,68
4,70
4,68
4,44
4,43
4,64
4,46
4,40
4,37
4,44
4,63
4,40
4,61
4,28
4,65
4,45
4,63
4,46
4,41
4,33
4,29
4,47
4,65
4,49
4,47
4,34
4,43
4,53
4,58
4,45
4,48
4,47
4,53
4,48
4,68
4,54
4,52
4,54
4,62
4,34
4,41
4,54
4,40
4,50
4,57
4,52
4,59
4,60
4,53
4,64
4,50
4,33
5,54
5,57
5,52
5,41
5,49
5,28
5,66
5,44
5,52
5,53
5,46
5,52
5,32
5,58
5,40
5,32
5,43
5,32
5,59
5,49
5,42
5,59
5,60
5,62
5,37
5,30
5,61
5,58
5,46
5,41
5,51
5,46
5,56
5,46
5,56
5,49
5,46
5,38
5,41
5,50
5,68
5,60
5,59
5,30
5,38
5,66
5,54
5,48
5,39
5,51
5,56
5,33
5,54
5,51
5,42
5,45
5,42
5,52
5,41
5,65
5,40
5,46
5,42
5,54
5,34
5,32
5,56
5,49
5,29
5,53
5,66
5,65
5,63
5,62
5,57
5,43
5,54
5,58
5,41
5,59
5,66
5,40
5,67
5,31
5,42
5,34
5,52
5,54
5,57
5,51
5,58
5,44
5,58
5,56
5,31
5,53
5,40
5,30
5,52
5,32
5,38
5,47
5,53
5,51
5,41
5,51
5,67
5,68
5,39
5,57
5,58
5,46
5,66
5,52
5,40
5,59
5,51
5,39
5,52
5,54
5,53
5,30
5,53
5,48
5,35
6,41
6,64
6,51
6,35
6,34
6,32
6,40
6,36
6,35
6,41
6,28
6,46
6,61
6,63
6,43
6,44
6,52
6,30
6,60
6,61
6,34
6,64
6,32
6,37
6,49
6,40
6,43
6,54
6,55
6,46
6,66
6,70
6,63
6,39
6,32
6,37
6,36
6,31
6,49
6,31
6,36
6,42
6,33
6,31
6,60
6,70
6,60
6,37
6,35
6,58
6,44
6,33
6,56
6,33
6,46
6,30
6,36
6,38
6,67
6,37
6,56
6,39
6,63
6,29
6,41
6,38
6,59
6,56
6,39
6,36
6,44
6,61
6,50
6,64
6,54
6,42
6,69
6,34
6,48
6,29
6,59
6,51
6,60
6,46
6,55
6,58
6,41
6,49
6,43
6,34
6,57
6,56
6,38
6,46
6,49
6,54
6,57
6,61
6,39
6,32
6,48
6,48
6,28
6,64
4,64
5,52
2,68
2,68
2,67
