Grade,Marks
2,69
2,65
2,28
2,65
2,45
2,66
2,69
2,32
2,67
2,69
2,67
2,63
2,67
2,68
2,30
2,42
2,45
2,69
2,57
2,46
2,68
2,62
2,68
2,70
2,70
2,65
2,68
2,66
2,52
2,59
2,64
2,42
2,63
2,68
2,31
2,68
2,70
2,64
2,66
2,51
2,66
2,31
2,48
2,68
2,70
2,68
2,70
2,66
2,65
2,61
2,67
2,70
2,67
2,69
2,68
2,68
2,68
2,44
2,69
2,65
2,68
2,64
2,40
2,69
2,70
2,70
2,68
2,56
2,52
2,68
2,65
2,29
2,49
2,70
2,53
2,68
2,65
2,67
2,70
2,69
2,69
2,52
2,70
2,65
2,70
2,67
2,65
2,69
2,67
2,65
2,67
2,55
2,66
2,69
2,69
2,69
2,65
2,65
2,69
2,59
2,69
2,70
2,70
2,69
2,70
2,59
2,61
2,70
2,68
2,62
2,70
2,66
2,69
2,70
2,50
2,52
2,67
2,69
2,37
2,70
2,70
2,69
2,67
2,63
2,69
2,69
2,69
2,68
2,70
2,70
2,70
2,66
2,65
2,47
2,68
2,69
2,66
2,69
2,69
2,69
2,67
2,65
2,58
2,70
2,65
2,57
2,66
2,70
2,62
2,69
2,56
2,66
2,67
2,64
2,62
2,67
2,69
2,70
2,66
2,42
2,66
2,47
2,66
2,62
2,63
2,67
2,70
2,64
2,66
2,49
2,70
2,69
2,67
2,62
2,68
2,28
2,68
2,67
2,68
2,69
2,69
2,29
2,65
2,69
2,69
3,35
3,46
3,55
3,42
3,39
3,42
3,47
3,45
3,52
3,50
3,46
3,31
3,44
3,48
3,28
3,30
3,42
3,43
3,42
3,53
3,66
3,44
3,49
3,41
3,41
3,41
3,53
3,32
3,40
3,56
3,64
3,39
3,39
3,58
3,31
3,42
3,42
3,64
3,49
3,44
3,38
3,53
3,57
3,56
3,36
3,28
3,54
3,57
3,58
3,69
3,35
3,34
3,65
3,30
3,58
3,51
3,55
3,59
3,39
3,59
3,32
3,44
3,31
3,48
3,37
3,60
3,46
3,35
3,38
3,52
3,36
3,50
3,45
3,55
3,60
3,70
3,38
3,46
3,56
3,50
3,56
3,46
3,41
3,58
3,40
3,32
3,66
3,58
3,51
3,66
3,58
3,43
3,55
3,69
3,47
3,43
3,47
3,58
3,51
3,31
3,66
3,58
3,53
3,53
3,69
3,65
3,61
3,53
3,68
3,33
3,65
3,43
3,65
3,66
3,42
3,53
3,48
3,67
3,63
3,61
3,63
3,43
3,67
3,49
3,68
3,68
3,58
4,33
4,58
4,33
4,40
4,44
4,65
4,53
4,58
4,56
4,55
4,41
4,40
4,30
4,40
4,40
4,49
4,41
4,43
4,49
4,37
4,40
4,51
4,39
4,60
4,48
4,65
4,67
4,42
4,40
4,34
4,48
4,35
4,39
4,34
4,51
4,63
4,30
4,39
4,67
4,48
4,32
4,33
4,47
4,64
4,34
4,59
4,53
4,51
4,51
4,42
4,54
4,36
4,50
4,56
4,62
4,40
4,49
4,45
4,47
4,44
4,50
4,52
4,42
4,55
4,36
4,57
4,36
4,32
4,45
4,32
4,69
4,58
4,55
4,58
4,62
4,57
4,53
4,58
4,67
4,41
4,59
4,50
4,32
4,51
4,41
4,58
4,56
4,48
4,28
4,51
4,55
4,48
4,45
4,63
4,56
4,58
4,48
4,64
4,50
4,59
4,59
4,31
5,46
5,34
5,31
5,53
5,30
5,35
5,42
5,64
5,31
5,50
5,53
5,35
5,31
5,46
5,49
5,33
5,40
5,61
5,40
5,66
5,37
5,57
5,51
5,69
5,47
5,38
5,66
5,68
5,63
5,47
6,44
6,62
6,40
6,52
6,36
6,34
6,54
6,57
6,50
6,53
6,65
6,31
6,68
6,66
6,44
6,36
